ion,wave_vac,terms,line_ratio,configuration,multiplet
Fe II,2753.8378725763437,c4F,0.8065573770491803,,21
Fe II,2754.1049373908095,b2H,0.5269565217391304,,14
Fe II,2755.7033253536083,z6F*,0.36386138613861385,,30
Fe II,2756.5535317495674,a4D,0.3444015444015444,,5
Fe II,2762.627006803796,a4D,0.07606177606177607,,5
Fe II,2763.148133422485,z6F*,0.1618811881188119,,30
Fe II,2765.9158060279988,b4G,0.12598425196850394,,18
Fe II,2768.2353699156056,z6F*,0.03306930693069307,,30
Fe II,2768.319390344143,b2H,1.0,,14
Fe II,2768.3363944785156,z6F*,1.0,,30
Fe II,2769.750738392231,a4D,0.08725868725868725,,5
Fe II,2770.17084055666,a4G,0.029871244635193132,,7
Fe II,2777.7286794647985,z6F*,0.27623762376237626,,30
Fe II,2786.0166980218487,z6F*,0.07128712871287128,,30
